word,phonetic,definition_zh,definition_en,example,tags,audio_file
dystrophy,'dɪstrəfi,n  营养障碍； 营养不良,,"In fleck corneal dystrophy, the lesion only involved stroma, epithelium and endothelium levels were normal.",sholvoir;ielts;exam;core,
pack,pæk,v 打包，收拾；包装，包裹；塞满; n  包,"to put things into cases, bags etc ready for a trip somewhere; something wrapped in paper or packed in a box and then sent by post or taken somewhere",I forgot to pack my razor.,sholvoir;ielts;exam;core,
pollutant,pə'lutənt,n  污染物质， 有害物质,"a substance that makes air, water, soil etc dangerously dirty, and is caused by cars, factories etc",a dumping ground for toxic pollutants,sholvoir;ielts;exam;core,
cue,kju,n  暗示， 提示,an action or event that is a signal for something else to happen,She stood nervously in the wings waiting for her cue.,sholvoir;ielts;exam;core,
enroll,ɪn'rol,v  入学； 登记； 加入； 招收,,,sholvoir;ielts;exam;core,
infringe,ɪn'frɪndʒ,v  侵犯， 侵害； 违背， 触犯； 干涉， 干扰,"If someone infringes a law or a rule, they break it or do something that disobeys it",The film exploited his image and infringed his copyright.,sholvoir;ielts;exam;core,
stabilise,'steɪbəlˌaɪz,v  稳定， 稳固,,"However, after three weeks of cold exposure, body weight began to stabilise.",sholvoir;ielts;exam;core,
entertainment,ˌɛntɚ'tenmənt,n  招待， 款待； 娱乐； 供消遣的事物,"when you entertain someone at home, or for business",the entertainment of friends,sholvoir;ielts;exam;core,
document,dɑkjəmənt,n 公文，文件，证件; vt  用文件证明； 记载,"a piece of paper that has official information on it; to write about something, film it, or take photographs of it, in order to record information about it",She produces legal documents for a downtown Seattle law firm.,sholvoir;ielts;exam;core,
availability,"ə,velə'bɪləti",n  可利用性， 可得性； 利用的可能性； 可利用的人或物,,,sholvoir;ielts;exam;core,
battery,'bæt(ə)rɪ,n  电池， 蓄电池,"an object that provides a supply of electricity for something such as a radio, car, or toy",You have to take the top off to change the batteries .,sholvoir;ielts;exam;core,
starve,stɑrv,v  挨饿； 饿死,to suffer or die because you do not have enough to eat,Thousands of people will starve if food doesn’t reach the city.,sholvoir;ielts;exam;core,
clay,kle,n  泥土， 黏土,"a type of heavy sticky earth that can be used for making pots, bricks etc",...the heavy clay soils of Georgia.,sholvoir;ielts;exam;core,
promote,prə'mot,vt  促进； 提升； 促销,"If people promote something, they help or encourage it to happen, increase, or spread",You don't have to sacrifice environmental protection to promote economic growth.,sholvoir;ielts;exam;core,
attack,ə'tæk,n&v  进攻； 抨击； 突然发作,an act of violence that is intended to hurt a person or damage a place,a bomb attack,sholvoir;ielts;exam;core,
humour,'hju:mə,n  幽默， 幽默感,"the ability or tendency to think that things are funny, or funny things you say that show you have this ability",his humour and charm,sholvoir;ielts;exam;core,
distribute,dɪ'strɪbjut,vt  分发， 分配， 分送； 散布， 分布； 分类， 分区,"to share things among a group of people, especially in a planned way",a man distributing leaflets to passers-by,sholvoir;ielts;exam;core,
attach,ə'tætʃ,v  系， 贴； 认为有重要性； 使附属， 附加,"to allow something to happen, but only if someone agrees to do a particular thing or accept a particular idea","When approving a merger, the commission can attach conditions.",sholvoir;ielts;exam;core,
graphic,'græfɪk,adj  文字的； 生动的， 形象的； 绘画的， 图表的,"Graphic means concerned with drawing or pictures, especially in publishing, industry, or computing",...fine and graphic arts.,sholvoir;ielts;exam;core,
creation,krɪ'eʃən,n  创造； 作品,the act of creating something,a job creation scheme,sholvoir;ielts;exam;core,
legislation,",lɛdʒɪs'leʃən",n  法律， 法规； 立法,a law or set of laws,This is a very important piece of legislation (= law ).,sholvoir;ielts;exam;core,
inclination,'ɪnklə'neʃən,n  爱好； 趋势； 倾斜,a tendency to think or behave in a particular way,My natural inclination was to say no.,sholvoir;ielts;exam;core,
fraught,frɔt,adj  充满…的； 担心的， 烦恼的,"If a situation or action is fraught with problems or risks, it is filled with them",The earliest operations employing this technique were fraught with dangers.,sholvoir;ielts;exam;core,
ingredient,ɪn'ɡridɪənt,n  组成部分， 成分； 原料； 要素， 因素,one of the foods that you use to make a particular food or dish,Combine all the ingredients in a large bowl.,sholvoir;ielts;exam;core,
participate,pɑr'tɪsə'pet,vi  参加， 参与,to take part in an activity or event,Some members refused to participate.,sholvoir;ielts;exam;core,
stereoscopic,",stɛrɪə'skɑpɪk",adj  有立体视觉的； 有立体效果的; v  刺， 戳； 黏贴， 黏住； 卡住， 陷住,"a stereoscopic picture, photograph etc appears solid when you look at it through a special machine","{""COLLOINEXA"":[""stereoscopic vision""]}",sholvoir;ielts;exam;core,
economical,",ɛkə'nɑmɪkl",adj  节约的； 经济的,"using money, time, goods etc carefully and without wasting any",A small car is more economical to run.,sholvoir;ielts;exam;core,
polish,'pɑlɪʃ,v 磨光，擦亮；使优美，,"to make something smooth, bright, and shiny by rubbing it",I spent all afternoon polishing the silver.,sholvoir;ielts;exam;core,
optical,'ɑptɪkl,adj  视力的； 光学的,"relating to machines or processes which are concerned with light, images, or the way we see things",microscopes and other optical instruments,sholvoir;ielts;exam;core,
fashion,'fæʃən,n  方式； 流行款式； 时装,"a style of clothes, hair etc that is popular at a particular time",Young people are very concerned with fashion,sholvoir;ielts;exam;core,
insurance,ɪn'ʃʊrəns,n  保险； 保险费； 保险业,"an arrangement with a company in which you pay them money, especially regularly, and they pay the costs if something bad happens, for example if you become ill or your car is damaged",Your father took out insurance to cover the mortgage.,sholvoir;ielts;exam;core,
dazzle,'dæzl,v 使目眩；,"if a very bright light dazzles you, it stops you from seeing properly for a short time",a deer dazzled by the headlights,sholvoir;ielts;exam;core,
principle,'prɪnsəpl,n  原则， 原理； 规范， 准则； 基本信念， 信条,"a moral rule or belief about what is right and wrong, that influences how you behave",Schools try to teach children a set of principles.,sholvoir;ielts;exam;core,
medical,'mɛdɪkl,adj  医学的， 医疗的； 内科的,relating to medicine and the treatment of disease or injury,medical research,sholvoir;ielts;exam;core,
darkroom,'dɑrkrum,n  暗室,"a special room with only red light or no light, where film from a camera is made into photographs","Through controlling the each step in process of darkroom disposal, improve the quality of the sciagram efficently.",sholvoir;ielts;exam;core,
thigh,θaɪ,n  大腿,"the top part of your leg, between your knee and your  hip ",chicken thighs,sholvoir;ielts;exam;core,
tedious,'tidɪəs,adj  冗长乏味的， 单调的,something that is tedious continues for a long time and is not interesting,The work was tiring and tedious.,sholvoir;ielts;exam;core,
source,sɔrs,n  来源， 出处； 源头， 发源地； 根源， 起源,"a thing, place, activity etc that you get something from",They get their money from various sources.,sholvoir;ielts;exam;core,
smell,smɛl,v  散发…的气味； 闻到， 嗅到,to notice or recognize a particular smell,I can smell burning.,sholvoir;ielts;exam;core,
participant,pɑr'tɪsəpənt,n  参加者， 参与者,someone who is taking part in an activity or event,40 of the course participants are offered employment with the company.,sholvoir;ielts;exam;core,
domestic,də'mɛstɪk,adj  本国的； 家庭的； 驯养的,relating to or happening in one particular country and not involving any other countries,Unfortunately his domestic life wasn’t very happy.,sholvoir;ielts;exam;core,
initiate,ɪ'nɪʃɪet,vt  开始， 创造， 发起； 接纳， 让…加入; n  加入组织者,"to arrange for something important to start, such as an official process or a new plan",They have decided to initiate legal proceedings against the newspaper.,sholvoir;ielts;exam;core,
manor,'mænɚ,n  领地， 庄园,a big old house with a large area of land around it,"The castle dates from the 1500s and has a rustic charm, reminiscent of a grand West Country manor.",sholvoir;ielts;exam;core,
detergent,dɪ'tɝdʒənt,adj 净化的，清洁的; n  清洁剂,"a liquid or powder used for washing clothes, dishes etc","During dry place, keep within the new air circulation, avoid rain and insolate, also can use some detergent to remove odor.",sholvoir;ielts;exam;core,
terrestrial,tə'rɛstrɪəl,adj  陆地的， 陆生的， 陆栖的； 地球的,relating to the Earth rather than to the moon or other  planets ,...terrestrial life forms.,sholvoir;ielts;exam;core,
irrigation,ˌɪrɪˈɡeʃn,n  灌溉； 冲洗,,Small blockages or collapses of the canal would choke the intricate irrigation networks.,sholvoir;ielts;exam;core,
compile,kəm'paɪl,vt  汇编； 编纂,"to make a book, list, record etc, using different pieces of information, music etc",The document was compiled by the Department of Health.,sholvoir;ielts;exam;core,
deception,dɪ'sɛpʃən,n  欺骗； 诡计,the act of deliberately making someone believe something that is not true,She didn’t have the courage to admit to her deception.,sholvoir;ielts;exam;core,
vitality,vaɪ'tæləti,n  生命力， 活力,great energy and eagerness to do things,"Despite her eighty years, Elsie was full of vitality.",sholvoir;ielts;exam;core,
donation,do'neʃən,n  捐款； 捐赠,"something, especially money, that you give to a person or an organ-ization in order to help them",There have been generous donations from EU funds.,sholvoir;ielts;exam;core,
familiarise,fə'mɪliəraɪz,vt  使熟悉， 使通晓； 使家喻户晓,,,sholvoir;ielts;exam;core,
budget,'bʌdʒɪt,v  做预算; n 预算，预算经费,"to carefully plan and control how much money you spend and what you will buy with it; the money that is available to an organization or person, or a plan of how it will be spent",We’ll have to budget more carefully.,sholvoir;ielts;exam;core,
radiate,'redɪet,v  发光； 发热； 辐射,"if something radiates light or heat, or if light or heat radiates from something, the light or heat is sent out in all directions",The log fire radiated a warm cosy glow.,sholvoir;ielts;exam;core,
actual,'æktʃuəl,adj  实际的； 真实的,used to emphasize that something is real or exact,I’m not joking. Those were his actual words.,sholvoir;ielts;exam;core,
chest,tʃɛst,n  胸； 金库， 资金,"Your chest is the top part of the front of your body where your ribs, lungs, and heart are",He crossed his arms over his chest.,sholvoir;ielts;exam;core,
campus,'kæmpəs,n  校园,"the land and buildings of a university or college, including the buildings where students live",a beautiful campus in New England,sholvoir;ielts;exam;core,
ultimate,ˈʌltəmɪt,adj 最后的，最终的；根本的; n  最好的事物， 极品， 精华,"someone’s ultimate aim is their main and most important aim, that they hope to achieve in the future; the best or most modern example of something",The ultimate outcome of the experiment cannot be predicted.,sholvoir;ielts;exam;core,
caustic,'kɔstɪk,adj  腐蚀性的； 讽刺的， 挖苦的; n 腐蚀剂,a caustic substance can burn through things by chemical action,caustic soda (= a chemical used for cleaning things ),sholvoir;ielts;exam;core,
verbal,'vɝbl,adj  口头的； 言辞的， 文字的， 词语的； 动词的,spoken rather than written,verbal skills,sholvoir;ielts;exam;core,
develop,dɪ'vɛləp,v  发展； 生长， 形成； 开发,"to grow or change into something bigger, stronger, or more advanced, or to make someone or something do this",Knowledge in the field of genetics has been developing very rapidly.,sholvoir;ielts;exam;core,
ancestral,æn'sɛstrəl,adj  祖先的； 祖传的,"You use ancestral to refer to a person's family in former times, especially when the family is important and has property or land that they have had for a long time",...the family's ancestral home in southern Germany.,sholvoir;ielts;exam;core,
district,'dɪstrɪkt,n  区， 地区,"an area of a town or the countryside, especially one with particular features",a postal district,sholvoir;ielts;exam;core,
arboreal,ɑr'bɔrɪəl,adj  树木的； 栖于树木的,"relating to trees, or living in trees",...arboreal marsupials which resemble monkeys.,sholvoir;ielts;exam;core,
overall,",ovə'rɔl",adj  全面的； 全部的,considering or including everything,"The overall cost of the exhibition was £400,000.",sholvoir;ielts;exam;core,
assume,ə'sum,vt  假定， 设想； 承担， 就,"to think that something is true, although you do not have definite proof",I think we can safely assume (=  it is almost certain  ) that interest rates will go up again soon.,sholvoir;ielts;exam;core,
pepper,'pɛpɚ,n 胡椒; vt  在…上撒,"a powder that is used to add a hot taste to food; if something is peppered with things, it has a lot of those things in it or on it",salt and pepper,sholvoir;ielts;exam;core,
destiny,'dɛstəni,n  命运， 定数,"the things that will happen to someone in the future, especially those that cannot be changed or controlled",She always had a strong sense of destiny .,sholvoir;ielts;exam;core,
doctoral,'dɔktərəl,adj  博士的,done as part of work for the university degree of doctor,a doctoral thesis,sholvoir;ielts;exam;core,
concept,'kɑnsɛpt,n  概念， 观念； 设想,"an idea of how something is, or how something should be done",a new concept in business travel,sholvoir;ielts;exam;core,
resistant,rɪ'zɪstənt,adj  抵抗的， 有抵抗力的,not damaged or affected by something,Some people are very resistant to the idea of exercise.,sholvoir;ielts;exam;core,
millennium,məˈlɛniəm,n  一千年， 千禧年； 太平盛世,"a period of 1,000 years",people who have inhabited this land for millennia,sholvoir;ielts;exam;core,
stark,stɑrk,adj  光秃秃的， 赤裸的； 荒凉的； 完全的,"very plain in appearance, with little or no colour or decoration","In the cold dawn light, the castle looked stark and forbidding.",sholvoir;ielts;exam;core,
stare,stɛr,n&vi  盯,"to look at something or someone for a long time without moving your eyes, for example because you are surprised, angry, or bored",She sat there staring into space (= looking for a long time at nothing ) .,sholvoir;ielts;exam;core,
refundable,'rifʌndəbl,adj  可退还的， 可归还的， 可偿还的,A refundable payment will be paid back to you in certain circumstances,A refundable deposit is payable on arrival.,sholvoir;ielts;exam;core,
enhance,ɪn'hæns,vt  提高， 增强， 增进,to improve something,Good lighting will enhance any room.,sholvoir;ielts;exam;core,
convention,kən'vɛnʃən,n  大会， 会议； 惯例， 常规， 习俗； 公约， 协定,a large formal meeting for people who belong to the same profession or organization or who have the same interests,a teachers’ convention,sholvoir;ielts;exam;core,
antiseptic,ˌæntiˈseptɪk,adj 防腐的，,,The antiseptic properties of copper sulphate have never been questioned.,sholvoir;ielts;exam;core,
calcium,'kælsɪəm,n  钙,"a silver-white metal that helps to form teeth, bones, and  chalk  . It is a chemical  element  : symbol Ca",Dairy source of protein and calcium.,sholvoir;ielts;exam;core,
refusal,rɪ'fjuzl,n  拒绝,"when you say firmly that you will not do, give, or accept something",Her country suffered through her refusal to accept change.,sholvoir;ielts;exam;core,
purchase,'pɝtʃəs,vt 买，购买; n  购买的物品,"to buy something; something you buy, or the act of buying it",You can purchase insurance online.,sholvoir;ielts;exam;core,
shore,ʃɔr,n  滨， 岸， 海滩,the land along the edge of a large area of water such as an ocean or lake,We could see a boat about a mile from shore.,sholvoir;ielts;exam;core,
teem,tim,vi  倾泻； 充满， 遍布,"If you say that a place is teeming with people or animals, you mean that it is crowded and the people and animals are moving around a lot","For most of the year, the area is teeming with tourists.",sholvoir;ielts;exam;core,
stylish,'staɪlɪʃ,adj  时髦的； 漂亮的,attractive in a fashionable way,a stylish woman in her forties,sholvoir;ielts;exam;core,
bypass,'baɪpæs,n 旁道; vt  绕过,an operation to direct blood through new  vein s (=  blood tubes  )  outside the heart because the veins in the heart are blocked or diseased; to go around a town or other busy place rather than through it,a triple heart bypass operation,sholvoir;ielts;exam;core,
equal,'ikwəl,adj 相等的; vt  比得上,"the same in size, number, amount, value etc as something else; to be as good as something else, or get to the same standard as someone or something else",Our constitution states that all men are equal.,sholvoir;ielts;exam;core,
optometrist,ɑp'tɑmətrɪst,n  验光师， 视力测定者,"An optometrist is someone whose job is to test people's eyesight to see if they need glasses, and how strong their glasses should be","""I see what I would consider a normal patient population, representative of the average experience most people are having, "" Brooklyn optometrist Justin Bazan, a paid consultant to the Vision Council.",sholvoir;ielts;exam;core,
silicon,'sɪlɪkən,n  硅,"a chemical substance that exists as a solid or as a powder and is used to make glass, bricks, and parts for computers. It is a chemical element: symbol Si",But the brittleness of silicon limits its uses.,sholvoir;ielts;exam;core,
fund,fʌnd,n 基金，专款；储备，蕴藏；; vt  为…提供资金， 给…拨款,"an amount of money that is collected and kept for a particular purpose; to provide money for an activity, organization, event etc",The fund was set up to try to save the cathedral.,sholvoir;ielts;exam;core,
gravity,ˈɡrævətɪ,n  重力,the force that causes something to fall to the ground or to be attracted to another  planet ,the force of gravity,sholvoir;ielts;exam;core,
moderation,'mɑdə'reʃən,n  温和， 中庸； 适度， 合理,,Some people think drinking in moderation can prevent heart disease.,sholvoir;ielts;exam;core,
recipient,rɪ'sɪpɪənt,n  接受者,someone who receives something,...the largest recipient of U.S. foreign aid.,sholvoir;ielts;exam;core,
commonwealth,'kɑmən'wɛlθ,n  [the C-] 英联邦； 联合体,The commonwealth is an organization consisting of the United Kingdom and most of the countries that were previously under its rule,"...the Asian, Caribbean and African members of the commonwealth.",sholvoir;ielts;exam;core,
marsupial,mɑr'supɪəl,n&a  有袋动物,an animal such as a  kangaroo  which carries its babies in a pocket of skin on its body,The smallest marsupial in all the world is but 45mm in length. So small that when fully grown it can stand comfortable in a dessert spoon.,sholvoir;ielts;exam;core,
alight,ə'laɪt,adj 燃烧的; v 〔鸟或虫等〕飞落,"burning; if a bird or insect alights on something, it stops flying and stands on it",The car was set alight and pushed over a hill.,sholvoir;ielts;exam;core,
enfranchise,ɪn'fræntʃaɪz,vt  给予…政治权利； 解放,to give a group of people the right to vote,The company voted to enfranchise its 120 women members.,sholvoir;ielts;exam;core,
finance,'faɪnæns,vt 为…提供资金; n 财政，金融；,"to provide money, especially a lot of money, to pay for something; the management of money by governments, large organizations etc",The concerts are financed by the Arts Council.,sholvoir;ielts;exam;core,
stash,stæʃ,vt  藏匿； 贮藏,to store something secretly or safely somewhere,We went for the bottle of whisky that we had stashed behind the bookcase.,sholvoir;ielts;exam;core,
incur,ɪn'kɝ,vt  招致， 遭受,"if you incur something unpleasant, it happens to you because of something you have done",The government had also incurred huge debts.,sholvoir;ielts;exam;core,
inundate,'ɪnʌndet,vt  淹没， 泛滥； 使不胜负荷， 使应接不暇,to receive so much of something that you cannot easily deal with it all,"After the broadcast, we were inundated with requests for more information.",sholvoir;ielts;exam;core,
studio,'studɪo,n  工作室； 摄影室； 练习室,a room where a painter or photographer regularly works,a photographer’s studio,sholvoir;ielts;exam;core,
regulate,'rɛɡjulet,v  管制， 控制； 调节， 校准； 调整,"to control an activity or process, especially by rules",strict rules regulating the use of chemicals in food,sholvoir;ielts;exam;core,
complementary,'kɑmplə'mɛntri,adj  互补的； 补充的， 补足的,"complementary things go well together, although they are usually different",The computer and the human mind have different but complementary abilities.,sholvoir;ielts;exam;core,
gland,ɡlænd,n  腺,"an organ of the body which produces a substance that the body needs, such as hormones, sweat, or saliva",the pituitary gland,sholvoir;ielts;exam;core,
disempower,disim'pauə,vt  使失去权力或影响,,,sholvoir;ielts;exam;core,
payable,'peəbl,adj  可支付的； 应支付的,"a bill, debt etc that is payable must be paid",The rent is payable in advance .,sholvoir;ielts;exam;core,
premise,ˈpremɪs,n 前提，假设；,a statement or idea that you accept as true and use as a base for developing other ideas,The idea that there is life on other planets is the central premise of the novel.,sholvoir;ielts;exam;core,
suppression,sə'prɛʃən,n  镇压， 压制， 抑制； 扑灭,,,sholvoir;ielts;exam;core,
controversial,",kɑntrə'vɝʃl",adj  争论的,"causing a lot of disagreement, because many people have strong opinions about the subject being discussed",the controversial issue of welfare reform,sholvoir;ielts;exam;core,
payment,'pemənt,n  支付； 支付的款项,an amount of money that has been or must be paid,You can make a payment in any bank.,sholvoir;ielts;exam;core,
attain,ə'ten,vt  达到； 获得； 完成,to succeed in achieving something after trying for a long time,More women are attaining positions of power.,sholvoir;ielts;exam;core,
unprejudiced,ʌn'prɛdʒədɪst,adj  无偏见的； 公正的,not prejudiced or biased; impartial ,"Narrator: This is a tale about an unprejudiced heart, and how it changed our valley forever.",sholvoir;ielts;exam;core,
tenant,'tɛnənt,n  承租人； 房客； 佃户,"someone who lives in a house, room etc and pays rent to the person who owns it",The desk was left by the previous tenant.,sholvoir;ielts;exam;core,
gallery,'gæləri,n  美术馆,a large building where people can see famous pieces of art,an exhibition of African art at the Hayward Gallery,sholvoir;ielts;exam;core,
deputy,'dɛpjuti,n  代理人； 代表,"someone who is directly below another person in rank, and who is officially in charge when that person is not there","...Jack Lang, France's minister for culture, and his deputy, Catherine Tasca.",sholvoir;ielts;exam;core,
wretch,rɛtʃ,n  不幸的人,someone that you feel sorry for,"He was a lonely, miserable wretch.",sholvoir;ielts;exam;core,
priority,praɪ'ɔrəti,n  优先， 重点； 优先考虑的事,the right to be given attention first and before other people or things,I want to start work on the garden but the house must take priority .,sholvoir;ielts;exam;core,
inlet,ɪnˌlɛt,n  入口； 进口， 水湾,a narrow area of water that reaches from the sea or a lake into the land,There are several sheltered inlets along the coast.,sholvoir;ielts;exam;core,
creative,krɪ'etɪv,adj  创造性的； 创作的,involving the use of imagination to produce new ideas or things,This job is so boring. I wish I could do something more creative.,sholvoir;ielts;exam;core,
shuttle,'ʃʌtl,n  航天飞机,a  space shuttle ,There is a free 24-hour shuttle between the airport terminals.,sholvoir;ielts;exam;core,
allocate,'æləket,vt  分配； 分派,"to use something for a particular purpose, give something to a particular person etc, especially after an official decision has been made",Tickets are limited and will be allocated to those who apply first.,sholvoir;ielts;exam;core,
primary,'praɪmɛri,adj  最初的， 初级的； 首要的， 基本的,most important,Our primary concern is to provide the refugees with food and health care.,sholvoir;ielts;exam;core,
pumice,'pʌmɪs,n 浮石，浮岩; vt  用浮岩磨,very light grey rock from a  volcano  that is crushed to a powder and used for cleaning,"Some rocks, like gray volcanic pumice, are laced with air pockets created when gases expanded inside the rock while it was still molten.",sholvoir;ielts;exam;core,
introspection,'ɪntrə'spɛkʃən,n  内省， 反省,"the process of thinking deeply about your own thoughts, feelings, or behaviour",He had always had his moments of quiet introspection.,sholvoir;ielts;exam;core,
log,lɔɡ,n 原木；航海或飞行日志; vt  记录,"a thick piece of wood from a tree; to make an official record of events, facts etc",a roaring log fire,sholvoir;ielts;exam;core,
nordic,'nɔ:dik,adj  北欧人的； 北欧国家的,"relating to the northern European countries of Denmark, Norway, Sweden, Iceland, and Finland, or to their people",the Nordic countries,sholvoir;ielts;exam;core,
enterprise,'ɛntɚ'praɪz,n  企业， 公司； 事业,"a company, organization, or business",commercial enterprises such as banks and food manufacturers,sholvoir;ielts;exam;core,
ventilation,",vɛntl'eʃən",n  空气流通； 通风设备， 通风方法,,"I see no ventilation to speak of, none from a window or a ventilator at least.",sholvoir;ielts;exam;core,
solar,'solɚ,adj  太阳的； 太阳能的,relating to the sun,a solar eclipse,sholvoir;ielts;exam;core,
dome,dom,n  圆屋顶； 穹顶,a round roof on a building,...the dome of the Capitol.,sholvoir;ielts;exam;core,
cinematography,'sɪnəmə'tɑgrəfi,n  电影摄影术,the skill or study of making films,...an admirer of Arthur Jafa's breathtaking cinematography.,sholvoir;ielts;exam;core,
fuse,fjuz,v  因保险丝烧断而断电； 熔合； 熔化; n 保险丝,"if electrical equipment fuses, or if you fuse it, it stops working because a fuse has melted; a short thin piece of wire inside electrical equipment which prevents damage by melting and stopping the electricity when there is too much power",The lights have fused again.,sholvoir;ielts;exam;core,
premium,'primɪəm,adj 高级的，优质的；,of very high quality,premium ice cream,sholvoir;ielts;exam;core,
assure,ə'ʃʊr,vt  使确信， 使确保； 保证， 向…保证,to tell someone that something will definitely happen or is definitely true so that they are less worried,"The document is genuine, I can assure you .",sholvoir;ielts;exam;core,
consult,kən'sʌlt,v  请教； 查阅； 商议,to ask for information or advice from someone because it is their job to know something,"If symptoms persist, consult a doctor without delay.",sholvoir;ielts;exam;core,
solidarity,",sɑlɪ'dærəti",n  团结， 一致,"loyalty and general agreement between all the people in a group, or between different groups, because they all have a shared aim",a gesture of solidarity,sholvoir;ielts;exam;core,
merely,'mɪrli,adv  仅仅， 只不过,used to emphasize how small or unimportant something or someone is,He’s merely a boy – you can’t expect him to understand.,sholvoir;ielts;exam;core,
contradiction,",kɑntrə'dɪkʃən",n  矛盾， 不一致； 否认， 反驳,"a difference between two statements, beliefs, or ideas about something that means they cannot both be true",apparent contradictions in the defendant’s testimony,sholvoir;ielts;exam;core,
survive,sɚ'vaɪv,v  活下来； 幸免于； 比…活得长， 比…长命,"to continue to live after an accident, war, or illness",Only 12 of the 140 passengers survived.,sholvoir;ielts;exam;core,
initial,ɪ'nɪʃəl,adj 最初的，开始的；词首的; n  词首大写字母,happening at the beginning; the first letter of someone’s first name,"an initial investment of £5,000",sholvoir;ielts;exam;core,
rudimentary,",rudɪ'mɛntri",adj  基本的， 初步的； 未充分发展的， 发育不成熟的； 退化的,a rudimentary knowledge or understanding of a subject is very simple and basic,"Gradually, I acquired a rudimentary knowledge of music.",sholvoir;ielts;exam;core,
precarious,prɪˈkɛrɪəs,adj  不安全的， 充满危险的； 不牢靠的， 不稳固的,a precarious situation or state is one which may very easily or quickly become worse,"Her health remained precarious, despite the treatment.",sholvoir;ielts;exam;core,
conceptual,kən'sɛptʃʊəl,adj  观念的， 概念的,"dealing with ideas, or based on them",the conceptual framework of the play,sholvoir;ielts;exam;core,
eternal,ɪ'tɝnl,adj  永恒的,continuing for ever and having no end,the Christian promise of eternal life,sholvoir;ielts;exam;core,
barely,'bɛrli,adv  仅仅， 几乎不； 赤裸裸地， 无遮蔽地,almost not,She was barely aware of his presence.,sholvoir;ielts;exam;core,
prevalent,'prɛvələnt,adj  流行的， 普遍的,"common at a particular time, in a particular place, or among a particular group of people",the prevalent belief in astrology,sholvoir;ielts;exam;core,
clip,klɪp,v  夹住， 扣住； 剪， 修剪; n  夹子， 回形针， 别针； 弹夹； 修剪； 剪报， 电影片断,to fasten something together or to be fastened together using a clip; a small metal or plastic object that holds or fastens things together,a stack of bills clipped together,sholvoir;ielts;exam;core,
crushing,'krʌʃɪŋ,adj  惨重的， 毁灭性的； 压倒的， 决定性的,"A crushing defeat, burden, or disappointment is a very great or severe one",...since their crushing defeat in the local elections.,sholvoir;ielts;exam;core,
nutrient,'nutrɪənt,n  滋养物， 营养品,a chemical or food that provides what is needed for plants or animals to live and grow,The plant absorbs nutrients from the soil.,sholvoir;ielts;exam;core,
invaluable,ɪn'væljʊəbl,adj  无价的,extremely useful,The internet is an invaluable source of information.,sholvoir;ielts;exam;core,
compact,'kɑmpækt,adj 紧密的，结实的；简明的；紧凑的; vt  使紧凑， 压缩,packed or put together firmly and closely; to press something together so that it becomes smaller or more solid,The bushes grew in a compact mass.,sholvoir;ielts;exam;core,
outlaw,'aʊtlɔ,n 亡命之徒，逃犯，被剥夺法律权益者; vt  宣布…为非法， 使…成为非法,"someone who has done something illegal, and who is hiding in order to avoid punishment – used especially about criminals in the past; When something is outlawed, it is made illegal","Jesse was an outlaw, a bandit, a criminal.",sholvoir;ielts;exam;core,
doom,dʊm,vt 注定…失败，使…在劫难逃; n  毁灭； 厄运， 劫数,"to make someone or something certain to fail, die, be destroyed etc; something very bad that is going to happen, or the fact that it is going to happen",The plan was doomed from the start .,sholvoir;ielts;exam;core,
possession,pə'zɛʃən,n  持有， 拥有； 所有权； 所有物， 财产， 财富； 领土,"if something is in your possession, you own it, or you have obtained it from somewhere",That information is not in our possession.,sholvoir;ielts;exam;core,
denote,dɪ'not,v  表示， 指示； 意味着,to mean something,What does the word ‘curriculum’ denote that ‘course’ does not?,sholvoir;ielts;exam;core,
bloom,blum,v  开花; n 花；开花；青春焕发,"if a plant or a flower blooms, its flowers appear or open; a flower or flowers",These plants bloom in spring.,sholvoir;ielts;exam;core,
zone,zon,n  地区， 地带； 区域,a large area that is different from other areas around it in some way,San Francisco and Tokyo are both located in earthquake zones.,sholvoir;ielts;exam;core,
storyline,"'stɔ:ri,lain",n  故事情节,"The storyline of a book, movie, or play is its story and the way in which it develops",The surprise twists in the storyline are the film's greatest strength.,sholvoir;ielts;exam;core,
propagate,'prɑpə'get,v  繁殖， 增殖； 传播， 宣传， 使普及,"to spread an idea, belief etc to many people",The group launched a website to propagate its ideas .,sholvoir;ielts;exam;core,
orthodox,'ɔrθədɑks,adj  正统的， 传统的,"orthodox ideas, methods, or behaviour are accepted by most people to be correct and right",orthodox medical treatments,sholvoir;ielts;exam;core,
industrialise,ɪn'dʌstrɪəlaɪz,v  工业化,,The way to bring cost down is to industrialise much of the process.,sholvoir;ielts;exam;core,
keystone,'ki'ston,n  拱顶石； 基础， 主旨,the large central stone in an arch that keeps the other stones in position,The government's determination to beat inflation has so far been the keystone of its economic policy.,sholvoir;ielts;exam;core,
combination,",kɑmbɪ'neʃən",n  结合， 联合； 化合,two or more different things that exist together or are used or put together,a combination nightclub and café,sholvoir;ielts;exam;core,
obtain,əb'ten,v  获得， 得到； 通用， 流行,"to get something that you want, especially through your own effort, skill, or work",These conditions no longer obtain.,sholvoir;ielts;exam;core,
