word,phonetic,definition_zh,definition_en,example,tags,audio_file
persist,/pɚˈsɪst/,,To go on stubbornly or resolutely.,,pronunciation-backfill;pos:verb,resource-packs/pronunciation-backfill-2026-06-16/audio/persist.mp3
verify,,,To substantiate or prove the truth of something,,pronunciation-backfill;pos:verb,resource-packs/pronunciation-backfill-2026-06-16/audio/verify.wav
